Hello,Hola
Goodbye,Adiós
Please,Por favor
Thank you,Gracias
Yes,Sí
No,No
Excuse me,Perdón
Sorry,Lo siento
What?,¿Qué?
Where?,¿Dónde?
When?,¿Cuándo?
Why?,¿Por qué?
How?,¿Cómo?
I don’t know,No sé
My name is,Mi nombre es
What is your name?,¿Cómo te llamas?
How are you?,¿Cómo estás?
Good,Bueno
Bad,Malo
More,Más
Less,Menos
Big,Grande
Small,Pequeño
Beautiful,Hermoso
Ugly,Feo
Old,Viejo
Young,Joven
Friend,Amigo
Family,Familia
Man,Hombre
Woman,Mujer
Child,Niño/Niña
Water,Agua
Food,Comida
House,Casa
Book,Libro
School,Escuela
Work,Trabajo
Day,Día
Night,Noche
